vote_type,pop_group,amount,fill
Army,1870,30.96,#aea596
Navy,1870,26.34,#777367
Pensions,1870,3.38,#292323
Civil,1870,4.06,#eac85c
Indians,1870,0.1,#fee6a9
Foreign,1870,0.66,#d69083
Miscellaneous,1870,8.83,#787734
Premium on Pub. Debt.,1870,6.89,#886a6d
Principle of Pub.,1870,5.38,#a1aba6
Debt Interest on Pub. Debt.,1870,13.4,#ddd9cb
Army,1869,37.83,#aea596
Navy,1869,6.87,#777367
Pensions,1869,0.25,#292323
Civil,1869,7.88,#eac85c
Indians,1869,0.14,#fee6a9
Foreign,1869,1.93,#d69083
Miscellaneous,1869,8.55,#787734
Premium on Pub. Debt.,1869,8.13,#886a6d
Principle of Pub.,1869,5.93,#a1aba6
Debt Interest on Pub. Debt.,1869,22.49,#ddd9cb
Army,1868,31.97,#aea596
Navy,1868,15.1,#777367
Pensions,1868,1.38,#292323
Civil,1868,3.01,#eac85c
Indians,1868,0.14,#fee6a9
Foreign,1868,1.1,#d69083
Miscellaneous,1868,8.55,#787734
Premium on Pub. Debt.,1868,5.38,#886a6d
Principle of Pub.,1868,5.37,#a1aba6
Debt Interest on Pub. Debt.,1868,28,#ddd9cb
Army,1867,31.72,#aea596
Navy,1867,21.1,#777367
Pensions,1867,2.12,#292323
Civil,1867,3.31,#eac85c
Indians,1867,0.52,#fee6a9
Foreign,1867,1.11,#d69083
Miscellaneous,1867,7.44,#787734
Premium on Pub. Debt.,1867,4.55,#886a6d
Principle of Pub.,1867,6.48,#a1aba6
Debt Interest on Pub. Debt.,1867,21.65,#ddd9cb
Army,1866,25.98,#aea596
Navy,1866,0,#777367
Pensions,1866,0,#292323
Civil,1866,2.15,#eac85c
Indians,1866,0,#fee6a9
Foreign,1866,0.87,#d69083
Miscellaneous,1866,2,#787734
Premium on Pub. Debt.,1866,6.69,#886a6d
Principle of Pub.,1866,8.27,#a1aba6
Debt Interest on Pub. Debt.,1866,54.04,#ddd9cb
Army,1865,6.01,#aea596
Navy,1865,0,#777367
Pensions,1865,0,#292323
Civil,1865,1.38,#eac85c
Indians,1865,0,#fee6a9
Foreign,1865,0,#d69083
Miscellaneous,1865,2.32,#787734
Premium on Pub. Debt.,1865,1.38,#886a6d
Principle of Pub.,1865,9.51,#a1aba6
Debt Interest on Pub. Debt.,1865,79.4,#ddd9cb
Army,1864,6.26,#aea596
Navy,1864,0,#777367
Pensions,1864,0,#292323
Civil,1864,1.21,#eac85c
Indians,1864,0,#fee6a9
Foreign,1864,0,#d69083
Miscellaneous,1864,2.39,#787734
Premium on Pub. Debt.,1864,0.55,#886a6d
Principle of Pub.,1864,9.51,#a1aba6
Debt Interest on Pub. Debt.,1864,80.08,#ddd9cb
Army,1863,3.52,#aea596
Navy,1863,0,#777367
Pensions,1863,0,#292323
Civil,1863,1.06,#eac85c
Indians,1863,0,#fee6a9
Foreign,1863,0.58,#d69083
Miscellaneous,1863,4,#787734
Premium on Pub. Debt.,1863,3,#886a6d
Principle of Pub.,1863,4.05,#a1aba6
Debt Interest on Pub. Debt.,1863,83.79,#ddd9cb
Army,1862,2.9,#aea596
Navy,1862,0,#777367
Pensions,1862,0,#292323
Civil,1862,1.25,#eac85c
Indians,1862,0,#fee6a9
Foreign,1862,0.9,#d69083
Miscellaneous,1862,1,#787734
Premium on Pub. Debt.,1862,2.44,#886a6d
Principle of Pub.,1862,9.1,#a1aba6
Debt Interest on Pub. Debt.,1862,82.41,#ddd9cb
Army,1861,6.4,#aea596
Navy,1861,0,#777367
Pensions,1861,0,#292323
Civil,1861,8.81,#eac85c
Indians,1861,1.7,#fee6a9
Foreign,1861,4.42,#d69083
Miscellaneous,1861,23.85,#787734
Premium on Pub. Debt.,1861,2.06,#886a6d
Principle of Pub.,1861,18.61,#a1aba6
Debt Interest on Pub. Debt.,1861,34.15,#ddd9cb
Army,1860,5.4,#aea596
Navy,1860,0,#777367
Pensions,1860,0,#292323
Civil,1860,9.31,#eac85c
Indians,1860,1.52,#fee6a9
Foreign,1860,4.96,#d69083
Miscellaneous,1860,32.68,#787734
Premium on Pub. Debt.,1860,2.2,#886a6d
Principle of Pub.,1860,18.48,#a1aba6
Debt Interest on Pub. Debt.,1860,25.45,#ddd9cb
Army,1859,4.03,#aea596
Navy,1859,0,#777367
Pensions,1859,0,#292323
Civil,1859,8.37,#eac85c
Indians,1859,1.36,#fee6a9
Foreign,1859,5.1,#d69083
Miscellaneous,1859,24.54,#787734
Premium on Pub. Debt.,1859,1.93,#886a6d
Principle of Pub.,1859,21.51,#a1aba6
Debt Interest on Pub. Debt.,1859,33.16,#ddd9cb
Army,1858,2.53,#aea596
Navy,1858,0,#777367
Pensions,1858,0.62,#292323
Civil,1858,9.61,#eac85c
Indians,1858,1.42,#fee6a9
Foreign,1858,7.03,#d69083
Miscellaneous,1858,23.71,#787734
Premium on Pub. Debt.,1858,2.21,#886a6d
Principle of Pub.,1858,18.61,#a1aba6
Debt Interest on Pub. Debt.,1858,34.26,#ddd9cb
Army,1857,2.29,#aea596
Navy,1857,4.99,#777367
Pensions,1857,0.28,#292323
Civil,1857,10.55,#eac85c
Indians,1857,1.32,#fee6a9
Foreign,1857,6.48,#d69083
Miscellaneous,1857,26.88,#787734
Premium on Pub. Debt.,1857,1.93,#886a6d
Principle of Pub.,1857,17.79,#a1aba6
Debt Interest on Pub. Debt.,1857,27.49,#ddd9cb
Army,1856,2.91,#aea596
Navy,1856,5.5,#777367
Pensions,1856,0.46,#292323
Civil,1856,9.89,#eac85c
Indians,1856,5.36,#fee6a9
Foreign,1856,4.14,#d69083
Miscellaneous,1856,23.02,#787734
Premium on Pub. Debt.,1856,2.07,#886a6d
Principle of Pub.,1856,21.65,#a1aba6
Debt Interest on Pub. Debt.,1856,25,#ddd9cb
Army,1855,3.67,#aea596
Navy,1855,9.86,#777367
Pensions,1855,1.55,#292323
Civil,1855,9.61,#eac85c
Indians,1855,1.51,#fee6a9
Foreign,1855,4,#d69083
Miscellaneous,1855,25.09,#787734
Premium on Pub. Debt.,1855,2.76,#886a6d
Principle of Pub.,1855,19.99,#a1aba6
Debt Interest on Pub. Debt.,1855,21.96,#ddd9cb
Army,1854,4.29,#aea596
Navy,1854,23.48,#777367
Pensions,1854,3.86,#292323
Civil,1854,6.14,#eac85c
