year_levels,amount
0.05978,0.06883
0.08519,0.21446
0.09181,0.3523
0.10780000000000001,0.43854
0.13351,0.52051
0.14909,0.64092
0.1545,0.66411
0.16917,0.77169
0.18369,1.27805
0.19849,1.81428
0.2139,2.37405
0.2293,2.92253
0.2447,3.4823
0.26011,4.03642
0.27551,4.58489
0.29092,4.79439
0.30634,4.8005
0.32176,4.80661
0.33718,4.81273
0.35259,4.81884
0.36801,4.82495
0.38343,4.83106
0.39885,4.83718
0.41426,4.84329
0.42968,4.8494
0.4451,4.85552
0.46052,4.86163
0.47593,4.86774
0.49135,4.87385
0.50677,4.87997
0.52218,4.95952
0.53759,5.25376
0.553,5.56495
0.56841,5.86485
0.58382,6.17604
0.59923,6.47593
0.61464,6.77582
0.63005,7.1661
0.64545,8.0027
0.66084,8.9071
0.67624,9.82844
0.69163,10.73284
0.70703,11.66548
0.72242,12.58118
0.73782,13.52512
0.75199,14.60154
0.76514,16.12566
0.77817,17.52331
0.79122,18.97974
0.80335,20.26605
0.81535,21.68134
0.82841,23.06712
0.84089,24.45585
0.85394,25.91524
0.86467,27.37889
0.87199,28.92612
0.87896,30.34581
0.88594,31.74686
0.89291,33.16656
0.89988,34.60489
0.90685,35.99973
0.91383,37.42564
0.9208,38.85776
0.92777,40.24017
0.93475,41.67229
0.94172,43.11063
0.94869,44.49925
0.95566,45.93758
0.96264,47.34485
0.97024,48.83146
0.97672,50.1905
0.978,50.5
