"","City","Census","Rank","label","offset","Rank2","xmin_grob","xmax_grob","ymin_grob","ymax_grob","raster_name","limit","limits_val"
"1","NEW YORK",2,1,0,"right",1,-2.7,-1.3,-0.6,-1.4,"new_york","right_lim",1.325
"2","NEW YORK",2,1,0,"right",1,-2.7,-1.3,-0.6,-1.4,"new_york","left_lim",2.675
"3","PHILADELPHIA",2,2,0,"right",2,-2.7,-1.3,-1.6,-2.4,"philadelphia","right_lim",1.325
"4","PHILADELPHIA",2,2,0,"right",2,-2.7,-1.3,-1.6,-2.4,"philadelphia","left_lim",2.675
"5","BOSTON",2,3,0,"right",3,-2.7,-1.3,-2.6,-3.4,"boston","right_lim",1.325
"6","BOSTON",2,3,0,"right",3,-2.7,-1.3,-2.6,-3.4,"boston","left_lim",2.675
"7","CHARLESTON",2,4,0,"right",4,-2.7,-1.3,-3.6,-4.4,"charleston","right_lim",1.325
"8","CHARLESTON",2,4,0,"right",4,-2.7,-1.3,-3.6,-4.4,"charleston","left_lim",2.675
"9","BALTIMORE",2,5,0,"right",5,-2.7,-1.3,-4.6,-5.4,"baltimore","right_lim",1.325
"10","BALTIMORE",2,5,0,"right",5,-2.7,-1.3,-4.6,-5.4,"baltimore","left_lim",2.675
"11","NORTHERN LIBERTIES",2,6,0,"right",6,-2.7,-1.3,-5.6,-6.4,"northern_liberties","right_lim",1.325
"12","NORTHERN LIBERTIES",2,6,0,"right",6,-2.7,-1.3,-5.6,-6.4,"northern_liberties","left_lim",2.675
"13","SALEM",2,7,0,"right",7,-2.7,-1.3,-6.6,-7.4,"salem","right_lim",1.325
"14","SALEM",2,7,0,"right",7,-2.7,-1.3,-6.6,-7.4,"salem","left_lim",2.675
"15","NEWPORT",2,8,0,"right",8,-2.7,-1.3,-7.6,-8.4,"newport","right_lim",1.325
"16","NEWPORT",2,8,0,"right",8,-2.7,-1.3,-7.6,-8.4,"newport","left_lim",2.675
"17","PROVIDENCE",2,9,0,"right",9,-2.7,-1.3,-8.6,-9.4,"providence","right_lim",1.325
"18","PROVIDENCE",2,9,0,"right",9,-2.7,-1.3,-8.6,-9.4,"providence","left_lim",2.675
"19","SOUTHWARK",2,10,0,"right",10,-2.7,-1.3,-9.6,-10.4,"southwark","right_lim",1.325
"20","SOUTHWARK",2,10,0,"right",10,-2.7,-1.3,-9.6,-10.4,"southwark","left_lim",2.675
