City,Census,Rank,label,offset,Rank2,xmin_grob,xmax_grob,ymin_grob,ymax_grob,raster_name,toolcity,toolcensus,toolrank,state,toolchange,firstcensus,tooltext,limit,limits_val
NEW YORK,2,1,0,right,1,-2.7,-1.3,-0.6,-1.4,new_york,New York,1st,1st,NY,First Appearance,,"City: New York, NY<br>Census: 1st<br>Rank: 1st<br>First Appearance",right_lim,1.45
NEW YORK,2,1,0,right,1,-2.7,-1.3,-0.6,-1.4,new_york,New York,1st,1st,NY,First Appearance,,"City: New York, NY<br>Census: 1st<br>Rank: 1st<br>First Appearance",left_lim,2.55
PHILADELPHIA,2,2,0,right,2,-2.7,-1.3,-1.6,-2.4,philadelphia,Philadelphia,1st,2nd,PA,First Appearance,,"City: Philadelphia, PA<br>Census: 1st<br>Rank: 2nd<br>First Appearance",right_lim,1.45
PHILADELPHIA,2,2,0,right,2,-2.7,-1.3,-1.6,-2.4,philadelphia,Philadelphia,1st,2nd,PA,First Appearance,,"City: Philadelphia, PA<br>Census: 1st<br>Rank: 2nd<br>First Appearance",left_lim,2.55
BOSTON,2,3,0,right,3,-2.7,-1.3,-2.6,-3.4,boston,Boston,1st,3rd,MA,First Appearance,,"City: Boston, MA<br>Census: 1st<br>Rank: 3rd<br>First Appearance",right_lim,1.45
BOSTON,2,3,0,right,3,-2.7,-1.3,-2.6,-3.4,boston,Boston,1st,3rd,MA,First Appearance,,"City: Boston, MA<br>Census: 1st<br>Rank: 3rd<br>First Appearance",left_lim,2.55
CHARLESTON,2,4,0,right,4,-2.7,-1.3,-3.6,-4.4,charleston,Charleston,1st,4th,SC,First Appearance,,"City: Charleston, SC<br>Census: 1st<br>Rank: 4th<br>First Appearance",right_lim,1.45
CHARLESTON,2,4,0,right,4,-2.7,-1.3,-3.6,-4.4,charleston,Charleston,1st,4th,SC,First Appearance,,"City: Charleston, SC<br>Census: 1st<br>Rank: 4th<br>First Appearance",left_lim,2.55
BALTIMORE,2,5,0,right,5,-2.7,-1.3,-4.6,-5.4,baltimore,Baltimore,1st,5th,MD,First Appearance,,"City: Baltimore, MD<br>Census: 1st<br>Rank: 5th<br>First Appearance",right_lim,1.45
BALTIMORE,2,5,0,right,5,-2.7,-1.3,-4.6,-5.4,baltimore,Baltimore,1st,5th,MD,First Appearance,,"City: Baltimore, MD<br>Census: 1st<br>Rank: 5th<br>First Appearance",left_lim,2.55
