State,Census,Rank,label,offset,x_place,Rank2,xmin_grob,xmax_grob,ymin_grob,ymax_grob,raster_name,toolState,toolcensus,toolrank,toolchange,firstcensus,tooltext,limit,limits_val
VIRGINIA,1,1,0,right,1.85,1,-2.55,-1.1500000000000001,-0.6,-1.4,virginia,Virginia,1st,1st,First Appearance,,State: Virginia<br>Census: 1st<br>Rank: 1st<br>First Appearance,right_lim,1.3
VIRGINIA,1,1,0,right,1.85,1,-2.55,-1.1500000000000001,-0.6,-1.4,virginia,Virginia,1st,1st,First Appearance,,State: Virginia<br>Census: 1st<br>Rank: 1st<br>First Appearance,left_lim,2.4000000000000004
MASSACHUSETTS,1,2,0,right,1.85,2,-2.55,-1.1500000000000001,-1.6,-2.4,massachusetts,Massachusetts,1st,2nd,First Appearance,,State: Massachusetts<br>Census: 1st<br>Rank: 2nd<br>First Appearance,right_lim,1.3
MASSACHUSETTS,1,2,0,right,1.85,2,-2.55,-1.1500000000000001,-1.6,-2.4,massachusetts,Massachusetts,1st,2nd,First Appearance,,State: Massachusetts<br>Census: 1st<br>Rank: 2nd<br>First Appearance,left_lim,2.4000000000000004
PENNSYLVANIA,1,3,0,right,1.85,3,-2.55,-1.1500000000000001,-2.6,-3.4,pennsylvania,Pennsylvania,1st,3rd,First Appearance,,State: Pennsylvania<br>Census: 1st<br>Rank: 3rd<br>First Appearance,right_lim,1.3
PENNSYLVANIA,1,3,0,right,1.85,3,-2.55,-1.1500000000000001,-2.6,-3.4,pennsylvania,Pennsylvania,1st,3rd,First Appearance,,State: Pennsylvania<br>Census: 1st<br>Rank: 3rd<br>First Appearance,left_lim,2.4000000000000004
NEW YORK,1,4,0,right,1.85,4,-2.55,-1.1500000000000001,-3.6,-4.4,new_york,New York,1st,4th,First Appearance,,State: New York<br>Census: 1st<br>Rank: 4th<br>First Appearance,right_lim,1.3
NEW YORK,1,4,0,right,1.85,4,-2.55,-1.1500000000000001,-3.6,-4.4,new_york,New York,1st,4th,First Appearance,,State: New York<br>Census: 1st<br>Rank: 4th<br>First Appearance,left_lim,2.4000000000000004
NORTH CAROLINA,1,5,0,right,1.85,5,-2.55,-1.1500000000000001,-4.6,-5.4,north_carolina,North Carolina,1st,5th,First Appearance,,State: North Carolina<br>Census: 1st<br>Rank: 5th<br>First Appearance,right_lim,1.3
NORTH CAROLINA,1,5,0,right,1.85,5,-2.55,-1.1500000000000001,-4.6,-5.4,north_carolina,North Carolina,1st,5th,First Appearance,,State: North Carolina<br>Census: 1st<br>Rank: 5th<br>First Appearance,left_lim,2.4000000000000004
MARYLAND,1,6,0,right,1.85,6,-2.55,-1.1500000000000001,-5.6,-6.4,maryland,Maryland,1st,6th,First Appearance,,State: Maryland<br>Census: 1st<br>Rank: 6th<br>First Appearance,right_lim,1.3
MARYLAND,1,6,0,right,1.85,6,-2.55,-1.1500000000000001,-5.6,-6.4,maryland,Maryland,1st,6th,First Appearance,,State: Maryland<br>Census: 1st<br>Rank: 6th<br>First Appearance,left_lim,2.4000000000000004
