State,Census,Rank,label,offset,x_place,Rank2,xmin_grob,xmax_grob,ymin_grob,ymax_grob,raster_name,toolState,toolcensus,toolrank,toolchange,firstcensus,tooltext,limit,limits_val
VIRGINIA,1,1,0,right,2,1,-2.7,-1.3,-0.6,-1.4,virginia,Virginia,1st,1st,First Appearance,,State: Virginia<br>Census: 1st<br>Rank: 1st<br>First Appearance,right_lim,1.45
VIRGINIA,1,1,0,right,2,1,-2.7,-1.3,-0.6,-1.4,virginia,Virginia,1st,1st,First Appearance,,State: Virginia<br>Census: 1st<br>Rank: 1st<br>First Appearance,left_lim,2.55
MASSACHUSETTS,1,2,0,right,2,2,-2.7,-1.3,-1.6,-2.4,massachusetts,Massachusetts,1st,2nd,First Appearance,,State: Massachusetts<br>Census: 1st<br>Rank: 2nd<br>First Appearance,right_lim,1.45
MASSACHUSETTS,1,2,0,right,2,2,-2.7,-1.3,-1.6,-2.4,massachusetts,Massachusetts,1st,2nd,First Appearance,,State: Massachusetts<br>Census: 1st<br>Rank: 2nd<br>First Appearance,left_lim,2.55
PENNSYLVANIA,1,3,0,right,2,3,-2.7,-1.3,-2.6,-3.4,pennsylvania,Pennsylvania,1st,3rd,First Appearance,,State: Pennsylvania<br>Census: 1st<br>Rank: 3rd<br>First Appearance,right_lim,1.45
PENNSYLVANIA,1,3,0,right,2,3,-2.7,-1.3,-2.6,-3.4,pennsylvania,Pennsylvania,1st,3rd,First Appearance,,State: Pennsylvania<br>Census: 1st<br>Rank: 3rd<br>First Appearance,left_lim,2.55
NEW YORK,1,4,0,right,2,4,-2.7,-1.3,-3.6,-4.4,new_york,New York,1st,4th,First Appearance,,State: New York<br>Census: 1st<br>Rank: 4th<br>First Appearance,right_lim,1.45
NEW YORK,1,4,0,right,2,4,-2.7,-1.3,-3.6,-4.4,new_york,New York,1st,4th,First Appearance,,State: New York<br>Census: 1st<br>Rank: 4th<br>First Appearance,left_lim,2.55
NORTH CAROLINA,1,5,0,right,2,5,-2.7,-1.3,-4.6,-5.4,north_carolina,North Carolina,1st,5th,First Appearance,,State: North Carolina<br>Census: 1st<br>Rank: 5th<br>First Appearance,right_lim,1.45
NORTH CAROLINA,1,5,0,right,2,5,-2.7,-1.3,-4.6,-5.4,north_carolina,North Carolina,1st,5th,First Appearance,,State: North Carolina<br>Census: 1st<br>Rank: 5th<br>First Appearance,left_lim,2.55
MARYLAND,1,6,0,right,2,6,-2.7,-1.3,-5.6,-6.4,maryland,Maryland,1st,6th,First Appearance,,State: Maryland<br>Census: 1st<br>Rank: 6th<br>First Appearance,right_lim,1.45
MARYLAND,1,6,0,right,2,6,-2.7,-1.3,-5.6,-6.4,maryland,Maryland,1st,6th,First Appearance,,State: Maryland<br>Census: 1st<br>Rank: 6th<br>First Appearance,left_lim,2.55
SOUTH CAROLINA,1,7,0,right,2,7,-2.7,-1.3,-6.6,-7.4,south_carolina,South Carolina,1st,7th,First Appearance,,State: South Carolina<br>Census: 1st<br>Rank: 7th<br>First Appearance,right_lim,1.45
SOUTH CAROLINA,1,7,0,right,2,7,-2.7,-1.3,-6.6,-7.4,south_carolina,South Carolina,1st,7th,First Appearance,,State: South Carolina<br>Census: 1st<br>Rank: 7th<br>First Appearance,left_lim,2.55
CONNECTICUT,1,8,0,right,2,8,-2.7,-1.3,-7.6,-8.4,connecticut,Connecticut,1st,8th,First Appearance,,State: Connecticut<br>Census: 1st<br>Rank: 8th<br>First Appearance,right_lim,1.45
CONNECTICUT,1,8,0,right,2,8,-2.7,-1.3,-7.6,-8.4,connecticut,Connecticut,1st,8th,First Appearance,,State: Connecticut<br>Census: 1st<br>Rank: 8th<br>First Appearance,left_lim,2.55
NEW JERSEY,1,9,0,right,2,9,-2.7,-1.3,-8.6,-9.4,new_jersey,New Jersey,1st,9th,First Appearance,,State: New Jersey<br>Census: 1st<br>Rank: 9th<br>First Appearance,right_lim,1.45
NEW JERSEY,1,9,0,right,2,9,-2.7,-1.3,-8.6,-9.4,new_jersey,New Jersey,1st,9th,First Appearance,,State: New Jersey<br>Census: 1st<br>Rank: 9th<br>First Appearance,left_lim,2.55
NEW HAMPSHIRE,1,10,0,right,2,10,-2.7,-1.3,-9.6,-10.4,new_hampshire,New Hampshire,1st,10th,First Appearance,,State: New Hampshire<br>Census: 1st<br>Rank: 10th<br>First Appearance,right_lim,1.45
