City,Census,Rank,label,offset,x_place,Rank2,xmin_grob,xmax_grob,ymin_grob,ymax_grob,raster_name,state,toolcity,toolcensus,toolrank,toolchange,firstcensus,tooltext,limit,limits_val
NEW YORK,1,1,0,right,1.85,1,-2.55,-1.1500000000000001,-0.6,-1.4,new_york,NY,New York,1st,1st,First Appearance,,"City: New York, NY<br>Census: 1st<br>Rank: 1st<br>First Appearance",right_lim,1.3
NEW YORK,1,1,0,right,1.85,1,-2.55,-1.1500000000000001,-0.6,-1.4,new_york,NY,New York,1st,1st,First Appearance,,"City: New York, NY<br>Census: 1st<br>Rank: 1st<br>First Appearance",left_lim,2.4000000000000004
PHILADELPHIA,1,2,0,right,1.85,2,-2.55,-1.1500000000000001,-1.6,-2.4,philadelphia,PA,Philadelphia,1st,2nd,First Appearance,,"City: Philadelphia, PA<br>Census: 1st<br>Rank: 2nd<br>First Appearance",right_lim,1.3
PHILADELPHIA,1,2,0,right,1.85,2,-2.55,-1.1500000000000001,-1.6,-2.4,philadelphia,PA,Philadelphia,1st,2nd,First Appearance,,"City: Philadelphia, PA<br>Census: 1st<br>Rank: 2nd<br>First Appearance",left_lim,2.4000000000000004
BOSTON,1,3,0,right,1.85,3,-2.55,-1.1500000000000001,-2.6,-3.4,boston,MA,Boston,1st,3rd,First Appearance,,"City: Boston, MA<br>Census: 1st<br>Rank: 3rd<br>First Appearance",right_lim,1.3
BOSTON,1,3,0,right,1.85,3,-2.55,-1.1500000000000001,-2.6,-3.4,boston,MA,Boston,1st,3rd,First Appearance,,"City: Boston, MA<br>Census: 1st<br>Rank: 3rd<br>First Appearance",left_lim,2.4000000000000004
CHARLESTON,1,4,0,right,1.85,4,-2.55,-1.1500000000000001,-3.6,-4.4,charleston,SC,Charleston,1st,4th,First Appearance,,"City: Charleston, SC<br>Census: 1st<br>Rank: 4th<br>First Appearance",right_lim,1.3
CHARLESTON,1,4,0,right,1.85,4,-2.55,-1.1500000000000001,-3.6,-4.4,charleston,SC,Charleston,1st,4th,First Appearance,,"City: Charleston, SC<br>Census: 1st<br>Rank: 4th<br>First Appearance",left_lim,2.4000000000000004
BALTIMORE,1,5,0,right,1.85,5,-2.55,-1.1500000000000001,-4.6,-5.4,baltimore,MD,Baltimore,1st,5th,First Appearance,,"City: Baltimore, MD<br>Census: 1st<br>Rank: 5th<br>First Appearance",right_lim,1.3
BALTIMORE,1,5,0,right,1.85,5,-2.55,-1.1500000000000001,-4.6,-5.4,baltimore,MD,Baltimore,1st,5th,First Appearance,,"City: Baltimore, MD<br>Census: 1st<br>Rank: 5th<br>First Appearance",left_lim,2.4000000000000004
