iraq_type,iraq_year,amount,fill
Unidiscovered fields,01,0,#85b838
Undeveloped discovered fields,01,0.5,#d9361c
Improved production from existing fields,01,2.8,#e2e02a
Unimproved existing fields,01,0,#0c0202
Unidiscovered fields,02,0,#85b838
Undeveloped discovered fields,02,0.5,#d9361c
Improved production from existing fields,02,2.8,#e2e02a
Unimproved existing fields,02,0,#0c0202
Unidiscovered fields,03,0.3,#85b838
Undeveloped discovered fields,03,1,#d9361c
Improved production from existing fields,03,2.5,#e2e02a
Unimproved existing fields,03,0,#0c0202
Unidiscovered fields,04,0.8,#85b838
Undeveloped discovered fields,04,1.3,#d9361c
Improved production from existing fields,04,2.2,#e2e02a
Unimproved existing fields,04,0,#0c0202
Unidiscovered fields,05,1.4,#85b838
Undeveloped discovered fields,05,1.7,#d9361c
Improved production from existing fields,05,1.8,#e2e02a
Unimproved existing fields,05,0,#0c0202
Unidiscovered fields,06,1.9,#85b838
Undeveloped discovered fields,06,1.75,#d9361c
Improved production from existing fields,06,1.75,#e2e02a
Unimproved existing fields,06,0,#0c0202
Unidiscovered fields,07,2.1,#85b838
Undeveloped discovered fields,07,1.8,#d9361c
Improved production from existing fields,07,1.7,#e2e02a
Unimproved existing fields,07,0,#0c0202
Unidiscovered fields,08,2.5,#85b838
Undeveloped discovered fields,08,1.85,#d9361c
Improved production from existing fields,08,1.65,#e2e02a
Unimproved existing fields,08,0,#0c0202
Unidiscovered fields,09,2.5,#85b838
Undeveloped discovered fields,09,1.9,#d9361c
Improved production from existing fields,09,1.6,#e2e02a
Unimproved existing fields,09,0,#0c0202
Unidiscovered fields,10,2.5,#85b838
Undeveloped discovered fields,10,2,#d9361c
Improved production from existing fields,10,1.5,#e2e02a
Unimproved existing fields,10,0,#0c0202
Unidiscovered fields,11,2.5,#85b838
Undeveloped discovered fields,11,2.05,#d9361c
Improved production from existing fields,11,1.45,#e2e02a
Unimproved existing fields,11,0,#0c0202
Unidiscovered fields,12,2.5,#85b838
Undeveloped discovered fields,12,2.15,#d9361c
Improved production from existing fields,12,1.35,#e2e02a
Unimproved existing fields,12,0,#0c0202
Unidiscovered fields,13,2.57,#85b838
Undeveloped discovered fields,13,2.14,#d9361c
Improved production from existing fields,13,1.26,#e2e02a
Unimproved existing fields,13,0,#0c0202
Unidiscovered fields,14,2.6,#85b838
Undeveloped discovered fields,14,2.2,#d9361c
Improved production from existing fields,14,1.2,#e2e02a
Unimproved existing fields,14,0,#0c0202
Unidiscovered fields,15,2.45,#85b838
Undeveloped discovered fields,15,2.15,#d9361c
Improved production from existing fields,15,1.15,#e2e02a
Unimproved existing fields,15,0.2,#0c0202
Unidiscovered fields,16,2.4,#85b838
Undeveloped discovered fields,16,2.13,#d9361c
Improved production from existing fields,16,1.1,#e2e02a
Unimproved existing fields,16,0.35,#0c0202
Unidiscovered fields,17,2.3,#85b838
Undeveloped discovered fields,17,2.11,#d9361c
Improved production from existing fields,17,1.09,#e2e02a
Unimproved existing fields,17,0.5,#0c0202
Unidiscovered fields,18,2.5,#85b838
Undeveloped discovered fields,18,2.1,#d9361c
Improved production from existing fields,18,1,#e2e02a
Unimproved existing fields,18,0.4,#0c0202
Unidiscovered fields,19,2.33,#85b838
Undeveloped discovered fields,19,2.21,#d9361c
Improved production from existing fields,19,0.89,#e2e02a
Unimproved existing fields,19,0.54,#0c0202
Unidiscovered fields,20,2.3,#85b838
Undeveloped discovered fields,20,2.16,#d9361c
Improved production from existing fields,20,0.84,#e2e02a
Unimproved existing fields,20,0.7,#0c0202
